n, <eps> [J], <|m|>
   1.182500e+00,  -4.345992e-03,   6.383966e-02
   1.185000e+00,  -4.421053e-03,   6.378947e-02
   1.187500e+00,  -4.495798e-03,   6.373950e-02
   1.190000e+00,  -4.612159e-03,   6.373166e-02
   1.192500e+00,  -4.728033e-03,   6.372385e-02
   1.195000e+00,  -4.843424e-03,   6.371608e-02
   1.197500e+00,  -5.000000e-03,   6.375000e-02
   1.200000e+00,  -5.155925e-03,   6.378378e-02
   1.202500e+00,  -5.311203e-03,   6.381743e-02
   1.205000e+00,  -5.424431e-03,   6.380952e-02
   1.207500e+00,  -5.537190e-03,   6.380165e-02
   1.210000e+00,  -5.608247e-03,   6.375258e-02
   1.212500e+00,  -5.720165e-03,   6.374486e-02
   1.215000e+00,  -5.872690e-03,   6.377823e-02
   1.217500e+00,  -6.024590e-03,   6.381148e-02
   1.220000e+00,  -6.175869e-03,   6.384458e-02
   1.222500e+00,  -6.326531e-03,   6.387755e-02
   1.225000e+00,  -6.435845e-03,   6.386965e-02
   1.227500e+00,  -6.544715e-03,   6.386179e-02
   1.230000e+00,  -6.653144e-03,   6.385396e-02
   1.232500e+00,  -6.720648e-03,   6.380567e-02
   1.235000e+00,  -6.828283e-03,   6.379798e-02
   1.237500e+00,  -6.935484e-03,   6.379032e-02
   1.240000e+00,  -7.042254e-03,   6.378270e-02
